,loss
0,25.823142402503404
1,25.378384942877783
2,22.93809374452139
3,19.57792182817851
4,17.175969718958566
5,16.27748201000912
6,15.811231279434068
7,15.360428025778361
8,15.217845075007336
9,15.754149936832016
10,14.633783220851381
11,14.39937032063802
12,14.453062519566826
13,13.639961527253552
14,13.259209007059377
15,13.412777087361517
16,13.166756632382912
17,13.132414273205345
18,12.509741683032631
19,12.964353646805037
20,12.296726607248146
21,12.1304931640625
22,12.21552253837016
23,12.180697602585862
24,12.145889511490505
25,11.194519115199704
26,10.03811245343543
27,10.143275013233218
28,9.323316679226131
29,11.26522937879853
30,10.370715577810401
31,10.729813585547449
32,9.442657470703125
33,9.654546674513659
34,8.79151229276002
35,9.432257805670892
36,9.893150663008115
37,8.74590404613598
38,9.487178520868287
39,8.908920395693759
40,7.953538192392589
41,8.329435974712393
42,7.500149430899785
43,6.811478598231098
44,6.892989179823133
45,7.430394804526749
46,6.305453659901068
47,6.762596563964253
48,6.6563478055714835
49,6.4223311912624865
50,5.184135108473198
51,5.981072298882546
52,5.051985091614208
53,5.236647415161133
54,5.349174296307506
55,4.996244336737961
56,4.180248415485747
57,6.37878865837644
58,5.090705339298692
59,3.742475903385766
60,5.363137403851308
61,5.118173690580986
62,4.361103718202343
63,4.876566660243834
64,5.043338810001408
65,4.682737892627272
66,4.400141370618666
67,3.806855966890276
68,4.004622395833334
69,2.9276424869076236
70,3.9903102175018494
71,9.338267450747283
72,2.9203666450537824
73,3.271512037707913
74,3.167342236275565
75,3.377186750204822
76,2.843611891252281
77,3.211041925931047
78,3.0049413369902482
79,2.8160921554856255
80,2.4485044873450414
81,8.852418698139072
82,2.834315025675107
83,6.879560359770936
84,5.320591742388681
85,5.175004141671317
86,5.418167840866816
87,4.656436181511108
88,6.796435763247785
89,5.751326399775081
90,5.283269803817959
91,4.895142264267779
92,5.574781343224276
93,5.149159223183818
94,5.142589209042712
95,4.492978080214968
96,3.867016459620276
97,4.525407853122099
98,4.664368039085751
99,4.043079723011363
100,4.555531708181721
101,3.761395045689174
102,3.6977770533152445
103,4.260145572387978
104,5.280603005661634
105,4.3453077497525445
106,4.784913591657366
107,4.235028661660233
108,3.9119266724035686
109,4.139459421258223
110,3.9702083874684773
111,4.360124344976427
112,3.9679201815990695
113,4.198049692007212
114,3.7920151359473735
115,4.323321139427923
116,4.245747252280667
117,4.165818001460103
118,3.565581938687155
119,4.3122575006565125
120,3.9858445100463493
121,3.869100246697398
122,3.8488429411677
123,3.769821088338636
124,3.080231087799447
125,3.4551955233378315
126,4.559040113427173
127,3.3142844796509126
128,3.463646795963035
129,3.9322232027666284
130,3.49296329116298
131,3.8280736019736845
132,3.4665854596077126
133,3.729284922281901
134,3.511885166168213
135,3.7184050899223995
136,3.391342450987618
137,3.238900219335653
138,3.2100694284499065
139,3.6250254083003393
140,3.2801916898430075
141,3.2578447252404388
142,2.79464068550043
143,3.7307622032800496
144,3.745244223690597
145,3.2694701030577495
146,3.3892882094155423
147,3.731414173449223
148,3.1481819290216086
149,3.562814884376738
150,3.4924297232902486
151,3.2792191232085988
152,2.9946460323733883
153,2.9872506018912435
154,3.4829754470685206
155,3.072890345083001
156,3.5232464994364117
157,2.919684361049107
158,3.737836956460293
159,3.1344287460656473
160,3.3825833666455614
161,3.1723931473855704
162,3.227111285005636
163,2.6508395506603883
164,2.78863723878938
165,3.238474967982942
166,2.8255425357389665
167,2.717609097259213
168,2.6797118089427476
